7,2,4,5,8,3,1,9,6 ; 3,1,9,6,4,2,7,8,5
2,6,8,1,5,3,9,7,4 ; 4,9,3,7,2,6,8,1,5
5,7,1,8,9,2,4,3,6 ; 9,4,6,3,1,5,2,7,8
6,3,8,1,9,5,2,7,4 ; 5,2,1,4,6,3,8,9,7
7,4,1,8,6,2,3,9,5 ; 2,5,8,9,7,3,4,1,6
3,6,4,7,2,8,1,5,9 ; 9,1,7,4,5,6,3,8,2
8,5,4,3,2,6,9,7,1 ; 6,7,1,8,4,5,2,9,3
1,9,2,6,7,4,5,8,3 ; 4,8,3,1,9,2,6,7,5
5,2,7,3,8,1,6,9,4 ; 1,3,6,2,4,5,7,8,9
7,8,2,1,9,6,4,5,3 ; 3,1,9,5,7,2,8,4,6
4,6,3,9,5,8,2,7,1 ; 5,2,1,7,6,3,9,8,4
1,7,5,8,3,2,9,6,4 ; 8,4,6,3,1,5,2,7,9
6,3,8,2,4,5,9,7,1 ; 5,2,1,4,6,3,8,9,7
7,4,1,8,6,2,3,9,5 ; 2,5,8,9,7,3,4,1,6
3,6,4,7,2,8,1,5,9 ; 9,1,7,4,5,6,3,8,2
8,5,4,3,2,6,9,7,1 ; 6,7,1,8,4,5,2,9,3
1,9,2,6,7,4,5,8,3 ; 4,8,3,1,9,2,6,7,5
5,2,7,3,8,1,6,9,4 ; 1,3,6,2,4,5,7,8,9
7,8,2,1,9,6,4,5,3 ; 3,1,9,5,7,2,8,4,6
4,6,3,9,5,8,2,7,1 ; 5,2,1,7,6,3,9,8,4
1,7,5,8,3,2,9,6,4 ; 8,4,6,3,1,5,2,7,9
6,3,8,2,4,5,9,7,1 ; 5,2,1,4,6,3,8,9,7
7,4,1,8,6,2,3,9,5 ; 2,5,8,9,7,3,4,1,6
3,6,4,7,2,8,1,5,9 ; 9,1,7,4,5,6,3,8,2
8,5,4,3,2,6,9,7,1 ; 6,7,1,8,4,5,2,9,3
1,9,2,6,7,4,5,8,3 ; 4,8,3,1,9,2,6,7,5
5,2,7,3,8,1,6,9,4 ; 1,3,6,2,4,5,7,8,9
